scenario_id,domain,task,assistant,speaker,turn_index,t_min,joy,trust,fear,anger,sadness,disgust,surprise,anticipation,positive,negative
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,15,4.375,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,16,4.375,0.0319148936170212,0.0957446808510638,0.0425531914893617,0.0425531914893617,0.1702127659574468,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.2234042553191489,0.2446808510638297
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,18,5.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.3846153846153846,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,19,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,20,5.625,0.0684931506849315,0.0958904109589041,0.0547945205479452,0.0547945205479452,0.0958904109589041,0.0684931506849315,0.0410958904109589,0.1506849315068493,0.2465753424657534,0.1232876712328767
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,21,6.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,22,6.25,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0,0.0,0.0,0.4615384615384615,0.2307692307692307,0.1538461538461538
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,23,6.875,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,24,6.875,0.0575539568345323,0.1798561151079136,0.0863309352517985,0.0503597122302158,0.1151079136690647,0.0215827338129496,0.014388489208633,0.1438848920863309,0.1870503597122302,0.1438848920863309
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,25,7.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,26,7.5,0.0273972602739726,0.136986301369863,0.1095890410958904,0.0547945205479452,0.136986301369863,0.0136986301369863,0.0136986301369863,0.136986301369863,0.1917808219178082,0.1780821917808219
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,27,8.125,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,28,8.125,0.0833333333333333,0.25,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,29,8.75,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.4285714285714285,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,30,8.75,0.0714285714285714,0.0714285714285714,0.0,0.0,0.1428571428571428,0.0714285714285714,0.0,0.2142857142857142,0.2142857142857142,0.2142857142857142
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,31,9.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,32,9.375,0.0588235294117647,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.2352941176470588,0.4117647058823529,0.1176470588235294
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,33,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,34,10.0,0.2083333333333333,0.125,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0833333333333333,0.2083333333333333,0.25,0.0416666666666666
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.2,0.3
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,2,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0833333333333333,0.0,0.0,0.0833333333333333,0.3333333333333333,0.25
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,3,0.4347826086956521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,4,0.4347826086956521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,5,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,6,0.8695652173913043,0.0909090909090909,0.0909090909090909,0.0909090909090909,0.0,0.0,0.0,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,7,1.3043478260869563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,8,1.3043478260869563,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,9,1.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,10,1.7391304347826086,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.2,0.2
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,11,2.1739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,12,2.1739130434782608,0.2857142857142857,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0,0.0,0.0,0.4285714285714285,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,13,2.608695652173913,0.25,0.125,0.0,0.0,0.125,0.0,0.125,0.125,0.25,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,14,2.608695652173913,0.3636363636363636,0.0909090909090909,0.0,0.0,0.1818181818181818,0.0,0.0,0.0,0.3636363636363636,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,15,3.043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,16,3.043478260869565,0.1666666666666666,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0555555555555555,0.1111111111111111,0.2777777777777778,0.0555555555555555
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,17,3.4782608695652173,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,18,3.4782608695652173,0.125,0.125,0.0,0.0,0.0,0.0,0.125,0.375,0.25,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,19,3.9130434782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,20,3.9130434782608696,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,21,4.3478260869565215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,22,4.3478260869565215,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,23,4.782608695652174,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,24,4.782608695652174,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,25,5.217391304347826,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,26,5.217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,27,5.652173913043479,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.4285714285714285,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,28,5.652173913043479,0.0769230769230769,0.0,0.0769230769230769,0.0769230769230769,0.0,0.0,0.0769230769230769,0.3076923076923077,0.3846153846153846,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,29,6.08695652173913,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,30,6.08695652173913,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1666666666666666
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,31,6.521739130434782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,32,6.521739130434782,0.1428571428571428,0.1428571428571428,0.0,0.0,0.0,0.0,0.1428571428571428,0.2857142857142857,0.2857142857142857,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,33,6.956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,34,6.956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,35,7.391304347826087,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,36,7.391304347826087,0.0434782608695652,0.2608695652173913,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.0434782608695652,0.0,0.1739130434782608,0.217391304347826,0.0869565217391304
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,37,7.826086956521739,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.375,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,38,7.826086956521739,0.125,0.25,0.0,0.0,0.0416666666666666,0.0,0.0833333333333333,0.1666666666666666,0.2916666666666667,0.0416666666666666
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,39,8.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,40,8.26086956521739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,41,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,42,8.695652173913043,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,43,9.130434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,44,9.130434782608695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,45,9.565217391304348,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,46,9.565217391304348,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,User,47,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 Wysa,Healthcare,Sleep schedule support,Wysa,wysa,48,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,User,1,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.25,0.25,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,Booking,2,0.0,0.1774193548387097,0.0967741935483871,0.032258064516129,0.0161290322580645,0.032258064516129,0.0,0.0806451612903225,0.1774193548387097,0.3709677419354839,0.0161290322580645
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,User,3,1.1111111111111112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,Booking,4,1.1111111111111112,0.1428571428571428,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.4285714285714285,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,User,5,2.2222222222222223,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,Booking,6,2.2222222222222223,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0833333333333333,0.0,0.5833333333333334,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,User,7,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task3.1 Booking,Travel & Tourism,Budget itinerary recommendation,Booking Assistant,Booking,8,3.333333333333333,0.1176470588235294,0.1764705882352941,0.0,0.0,0.0,0.0,0.2352941176470588,0.0588235294117647,0.4117647058823529,0.0
